referendum_index,origin,address,amount,conviction,votes,status,voting_time,delegate
355,referendum_canceller,HMATevKkCxh3Z4gDJuqeB19ckmoxXN7RH7dfSPq1HhciX77,10000000000000,6,60000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,EjHrXpRHyo1WpWEmFKTYT8wEtTXKnzZDQAth1MErwDmabmq,10000000000000,6,60000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,DtrDM8ZZpBhTSwptMCgYEzJqbPUFArScxikZfbd9tHA47PZ,10000000000000,6,60000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,HMat4V87JEtRKMthyMKMX8yMpGPkzjiy1dZBVQ7RDQCQkFt,10000000000000,6,60000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,GLdbdQ1E5kM73RN6d8Z1SW7auyneEpp99rxp49ziDaz535B,10000000000000,6,60000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,Gu6Jt8TJQ3LF7dJgVLCr1JfoxKTcWhMAoaXr8ATczMAE9vm,10000000000000,6,60000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,HmAtGqDUoiVSUKEDGePWuCwhPEnB6WdHZj2udm9HmStgRDx,10000000000000,6,60000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,CcAHUZUe812ezanectERTNjKy4SXqM8ojbmo8oYdnWqG379,10000000000000,6,60000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,H42TUfJrVKt8KzUszJr1sdJseei2yAikhMEyK3xSundN3UW,10000000000000,6,60000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,GpZgakHH3wR1vCvYFgy8Q1iJWYqxyQiRPyeXhGKWxX88uXP,10000000000000,6,60000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,FiXWFMjVgbMDELNENbDK48NgLGg8YmXu8RD5NLE6Pfop9ws,10000000000000,6,60000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,HRgP5To1qDAfaSVAFouJa6oixoNJRRLtjUctwS6Euz6kbUh,10000000000000,6,60000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,CecU9j1rpC6CDSzFjtrUmNqonzVk5n1BNFiTiN9vadA1rMs,10000000000000,6,60000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
